"program","program","sku","name","color_presentation","price","pdp_url","short_description","description","pdp_url","size","fit_presentation"
"Summer Weight Jeans","Summer Weight Jeans","18079-BMC94-32X32","Summer Weight Jeans","Dark Wash",88,"https://bonobos.com/products/summer-weight-jeans","A lighter stretch denim for warmer climates.","With its casual look and broken-in feel, denim has always been an old favorite. But it can be a little heavy for warmer weather. So what's the solution? Summer Weight Jeans. Everything you love about denim in a lighter weight to keep you cool.","https://bonobos.com/products/summer-weight-jeans","32X32","Slim"
"Summer Weight Jeans","Summer Weight Jeans","18082-BMC94-30X30","Summer Weight Jeans","Dark Wash",88,"https://bonobos.com/products/summer-weight-jeans","A lighter stretch denim for warmer climates.","With its casual look and broken-in feel, denim has always been an old favorite. But it can be a little heavy for warmer weather. So what's the solution? Summer Weight Jeans. Everything you love about denim in a lighter weight to keep you cool.","https://bonobos.com/products/summer-weight-jeans","30X30","Athletic"
"Selvage Stretch Jeans","Selvage Stretch Jeans","23085-NA096-32X34","Selvage Stretch Jeans","Natural",198,"https://bonobos.com/products/selvage-stretch-jeans","Durable, high-end fabric from Japan that gets better with age.","Durable, high-end fabric from Japan that gets better with age.","https://bonobos.com/products/selvage-stretch-jeans","32X34","Slim"
"DG - Basic","DG - Basic","21833-BLF23-17X35","Daily Grind Wrinkle Free Dress Shirt","Blue Gingham",98,"https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","Soft, tailored cotton resistant to wrinkles & machine washable.","Dressing for work isn't rocket science. It's really about looking your best without spending a ton of time doing so. Which is why the Daily Grinds come in so handy. Simply stated, these dress shirts are crafted and tailored never to wrinkle. Utilizing wrinkle-free technology, they can be washed and worn with minimal ironing, and they will maintain their rich color and crisp appearance. You won’t just be looking great and worrying less, you’ll be saving time, money, and energy over the long life of your Daily Grind shirts. And did we mention looking great? Oh. We did.","https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","17X35","Tailored"
"DG - Seasonal Basic","DG - Seasonal Basic","21800-BMA98-15.5X34","Daily Grind Wrinkle Free Dress Shirt","Blue Stour Check",48,"https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","Soft, tailored cotton resistant to wrinkles & machine washable.","Dressing for work isn't rocket science. It's really about looking your best without spending a ton of time doing so. Which is why the Daily Grinds come in so handy. Simply stated, these dress shirts are crafted and tailored never to wrinkle. Utilizing wrinkle-free technology, they can be washed and worn with minimal ironing, and they will maintain their rich color and crisp appearance. You won’t just be looking great and worrying less, you’ll be saving time, money, and energy over the long life of your Daily Grind shirts. And did we mention looking great? Oh. We did.","https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","15.5X34","Standard"
"DG - Basic","DG - Basic","21835-BLB72-16.5X35","Daily Grind Wrinkle Free Dress Shirt","Blue Classic Check",98,"https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","Soft, tailored cotton resistant to wrinkles & machine washable.","Dressing for work isn't rocket science. It's really about looking your best without spending a ton of time doing so. Which is why the Daily Grinds come in so handy. Simply stated, these dress shirts are crafted and tailored never to wrinkle. Utilizing wrinkle-free technology, they can be washed and worn with minimal ironing, and they will maintain their rich color and crisp appearance. You won’t just be looking great and worrying less, you’ll be saving time, money, and energy over the long life of your Daily Grind shirts. And did we mention looking great? Oh. We did.","https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","16.5X35","Slim"
"DG - Seasonal Basic","DG - Seasonal Basic","21761-PR499-16X34","Daily Grind Wrinkle Free Dress Shirt","Pink Port Grand",78,"https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","Soft, tailored cotton resistant to wrinkles & machine washable.","Dressing for work isn't rocket science. It's really about looking your best without spending a ton of time doing so. Which is why the Daily Grinds come in so handy. Simply stated, these dress shirts are crafted and tailored never to wrinkle. Utilizing wrinkle-free technology, they can be washed and worn with minimal ironing, and they will maintain their rich color and crisp appearance. You won’t just be looking great and worrying less, you’ll be saving time, money, and energy over the long life of your Daily Grind shirts. And did we mention looking great? Oh. We did.","https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","16X34","Slim"
"DG - Ltd Edition","DG - Ltd Edition","23283-BNC29-16X35","Daily Grind Wrinkle Free Dress Shirt Limited Edition","White Wild Blue Butterflies",98,"https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt-limited-edition","Wrinkle-resistant cotton in limited-edition colors & prints.","Dressing for work isn't rocket science. It's really about looking your best without spending a ton of time doing so. Which is why the Daily Grinds come in so handy. Simply stated, these dress shirts are crafted and tailored never to wrinkle. Utilizing wrinkle-free technology, they can be washed and worn with minimal ironing, and they will maintain their rich color and crisp appearance. You won’t just be looking great and worrying less, you’ll be saving time, money, and energy over the long life of your Daily Grind shirts. And did we mention looking great? Oh. We did.","https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt-limited-edition","16X35","Slim"
"DG - Ltd Edition","DG - Ltd Edition","23301-BNC27-16.5X35","Daily Grind Wrinkle Free Dress Shirt Limited Edition","White Tossed Blue Ring",98,"https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt-limited-edition","Wrinkle-resistant cotton in limited-edition colors & prints.","Dressing for work isn't rocket science. It's really about looking your best without spending a ton of time doing so. Which is why the Daily Grinds come in so handy. Simply stated, these dress shirts are crafted and tailored never to wrinkle. Utilizing wrinkle-free technology, they can be washed and worn with minimal ironing, and they will maintain their rich color and crisp appearance. You won’t just be looking great and worrying less, you’ll be saving time, money, and energy over the long life of your Daily Grind shirts. And did we mention looking great? Oh. We did.","https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt-limited-edition","16.5X35","Tailored"
"Suede Patchwork Belt","Suede Patchwork Belt","23683-PPM77-36","Suede Belt","Pink Multi Color",88,"https://bonobos.com/products/suede-belt",,,"https://bonobos.com/products/suede-belt","36",
"Jetsetter Cotton","Jetsetter Cotton","22902-BLV89-44R","Jetsetter Stretch Italian Cotton Suit Jacket","Solid Navy",350,"https://bonobos.com/products/jetsetter-stretch-italian-cotton-suit-jacket",,,"https://bonobos.com/products/jetsetter-stretch-italian-cotton-suit-jacket","44R","Athletic"
"Boulevard Jacket","Boulevard Jacket","19152-BLN76-M","The Boulevard Bomber Jacket","Navy",168,"https://bonobos.com/products/the-boulevard-bomber-jacket",,,"https://bonobos.com/products/the-boulevard-bomber-jacket","M","Standard"
"The Highland Golf Pant","The Highland Golf Pant","17895-BLV59-38X36","Highland Golf Pants","Heather Indigo",118,"https://bonobos.com/products/highland-golf-pants","A modern golf pant that works great on & off the course.","A modern golf pant that works great on & off the course.","https://bonobos.com/products/highland-golf-pants","38X36","Straight"
"The Lightweight Highland Pant","The Lightweight Highland Pant","20560-GYM29-34X32","Highland Lightweight Golf Pants","Light Grey Palm",68,"https://bonobos.com/products/highland-lightweight-golf-pants",,,"https://bonobos.com/products/highland-lightweight-golf-pants","34X32","Slim"
"The Highland Tour Pant","The Highland Tour Pant","17923-KH138-34X32","Highland Tour Golf Pants","Khaki",128,"https://bonobos.com/products/highland-tour-golf-pants","Made with course-ready features, including flex panels, shirt grippers & UPF protection.","Made with course-ready features, including flex panels, shirt grippers & UPF protection.","https://bonobos.com/products/highland-tour-golf-pants","34X32","Athletic"
"The Highland Tour Pant","The Highland Tour Pant","20056-GRT91-35X30","Highland Tour Golf Pants","Deep Green",128,"https://bonobos.com/products/highland-tour-golf-pants","Made with course-ready features, including flex panels, shirt grippers & UPF protection.","Made with course-ready features, including flex panels, shirt grippers & UPF protection.","https://bonobos.com/products/highland-tour-golf-pants","35X30","Tailored"
"Stretch Weekday Warriors","Stretch Weekday Warriors","18392-KH157-38X32","Stretch Weekday Warrior Dress Pants","Wednesday Wheat",98,"https://bonobos.com/products/stretch-weekday-warrior-dress-pants","Wrinkle-resistant, easy-care cotton that simplifies your work day.","Wrinkle-resistant, easy-care cotton that simplifies your work day.","https://bonobos.com/products/stretch-weekday-warrior-dress-pants","38X32","Athletic"
"Stretch Weekday Warriors","Stretch Weekday Warriors","20727-BK389-33X28","Stretch Weekday Warrior Dress Pants","Tuesday Black",98,"https://bonobos.com/products/stretch-weekday-warrior-dress-pants","Wrinkle-resistant, easy-care cotton that simplifies your work day.","Wrinkle-resistant, easy-care cotton that simplifies your work day.","https://bonobos.com/products/stretch-weekday-warrior-dress-pants","33X28","Straight"
"Stretch Weekday Warriors","Stretch Weekday Warriors","20727-BLR56-29X30","Stretch Weekday Warrior Dress Pants","Monday True Blue",98,"https://bonobos.com/products/stretch-weekday-warrior-dress-pants","Wrinkle-resistant, easy-care cotton that simplifies your work day.","Wrinkle-resistant, easy-care cotton that simplifies your work day.","https://bonobos.com/products/stretch-weekday-warrior-dress-pants","29X30","Straight"
